absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members,all_keywords,absolute_keywords,weighted_keywords,general_theme_gpt,general_theme_names,absolute_theme_gpt,absolute_theme_names,weighted_theme_gpt,weighted_theme_names
63,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",64,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[7309052, 68801460, 473472787]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money,sign","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money","ban,travel,trump,revise,order,judge,president,hawaii,trumps,block,executive_order,federal_judge,immigration,sign","{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge', 'sign']}",US Immigration Policy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge'], 'Media and Finance': ['radio_live', 'stock_money']}",US Immigration Policy.Media and Finance,"{'Travel Ban': 'ban, travel, trump, revise, order, judge, president, hawaii, trumps, block, executive_order, federal_judge, immigration, sign'}",Travel Ban
64,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",65,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[776414185, 3369332271, 4690856839]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money,sign","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money","ban,travel,trump,revise,order,judge,president,hawaii,trumps,block,executive_order,federal_judge,immigration,sign","{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge', 'sign']}",US Immigration Policy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge'], 'Media and Finance': ['radio_live', 'stock_money']}",US Immigration Policy.Media and Finance,"{'Travel Ban': 'ban, travel, trump, revise, order, judge, president, hawaii, trumps, block, executive_order, federal_judge, immigration, sign'}",Travel Ban
65,11,"['nobannowall', 'muslimban', 'bigotry', 'noban', 'riseup', 'remember', 'immigration', 'immigrant', 'stand']",66,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[11695472, 11695602, 2974872788, 827997641346785280]","nobannowall,muslimban,bigotry,noban,riseup,remember,immigration,immigrant,stand,ban,muslim,trump,president,travel,refugee,travelban,judge_robart,executive_order,judge","nobannowall,muslimban,bigotry,noban,riseup,remember,immigration,immigrant,stand,ban,muslim,trump,president","ban,trump,muslimban,muslim,nobannowall,travel,refugee,travelban,judge_robart,executive_order,judge","{'Immigration and Travel Ban Controversy': 'nobannowall, muslimban, bigotry, noban, riseup, remember, immigration, immigrant, stand, ban, muslim, trump, president, travel, refugee, travelban, judge_robart, executive_order, judge'}",Immigration and Travel Ban Controversy,"{'Immigration and Anti-Discrimination Protests': 'nobannowall, muslimban, bigotry, noban, riseup, remember, immigration, immigrant, stand, ban, muslim, trump, president'}",Immigration and Anti-Discrimination Protests,"{'US Travel Ban Controversy': ['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee', 'travelban', 'judge_robart', 'executive_order', 'judge']}",US Travel Ban Controversy
66,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",67,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[30143148, 106010958, 488679414, 917363497]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money,sign","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money","ban,travel,trump,revise,order,judge,president,hawaii,trumps,block,executive_order,federal_judge,immigration,sign","{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge', 'sign']}",US Immigration Policy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge'], 'Media and Finance': ['radio_live', 'stock_money']}",US Immigration Policy.Media and Finance,"{'Travel Ban': 'ban, travel, trump, revise, order, judge, president, hawaii, trumps, block, executive_order, federal_judge, immigration, sign'}",Travel Ban
67,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",68,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[18819827, 282747242, 3394601549]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money,sign","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money","ban,travel,trump,revise,order,judge,president,hawaii,trumps,block,executive_order,federal_judge,immigration,sign","{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge', 'sign']}",US Immigration Policy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge'], 'Media and Finance': ['radio_live', 'stock_money']}",US Immigration Policy.Media and Finance,"{'Travel Ban': 'ban, travel, trump, revise, order, judge, president, hawaii, trumps, block, executive_order, federal_judge, immigration, sign'}",Travel Ban
68,13,"['muslimban', 'pvv', 'bordersclose', 'geertwilders', 'stempvv', 'nexit', 'attention', 'mega', 'bluehand', 'prevail', 'afd', 'stopislam', 'survive']",19,2,"['muslimban', 'muslim', 'country', 'ban', 'trump', 'muslims', 'islam', 'america', 'terrorist', 'travel']",8,"['travelban', 'refugeeswelcome', 'maga', 'refugee', 'muslimban', 'islam', 'trump', 'enter_country', 'pvv', 'country', 'tcot', 'stopislamofobia', 'bordersclose']",3,"['muslimban', 'pvv', 'bordersclose', 'vote', 'marinelepen', 'mega_sweden', 'read']","[120818659, 237140311, 891059384, 1272041820, 1908348464, 2715665504, 3075254828, 3407135421, 3468586467, 3622251449, 3874676487, 4780779442, 706577077898756096, 718117017153306625, 747741792318164992, 776692799894724600, 785774096613126144, 814520704901201924, 820637114765348864, 824739546315239425, 838379187366952961, 838379187366953000, 839099917121511425]","muslimban,pvv,bordersclose,geertwilders,stempvv,nexit,attention,mega,bluehand,prevail,afd,stopislam,survive,travelban,refugeeswelcome,maga,refugee,islam,trump,enter_country,country,tcot,stopislamofobia,muslim,ban,muslims,america,terrorist,travel,vote,marinelepen,mega_sweden,read","muslimban,pvv,bordersclose,geertwilders,stempvv,nexit,attention,mega,bluehand,prevail,afd,stopislam,survive,travelban,refugeeswelcome,maga,refugee,islam,trump,enter_country,country,tcot,stopislamofobia","muslimban,muslim,country,ban,trump,muslims,islam,america,terrorist,travel,pvv,bordersclose,vote,marinelepen,mega_sweden,read","{'Right-Wing Populism and Anti-Islam Sentiment': ['muslimban', 'pvv', 'bordersclose', 'geertwilders', 'stempvv', 'nexit', 'attention', 'mega', 'bluehand', 'prevail', 'afd', 'stopislam', 'survive', 'travelban', 'maga', 'islam', 'trump', 'enter_country', 'country', 'tcot', 'stopislamofobia', 'muslim', 'ban', 'muslims', 'america', 'terrorist', 'travel', 'vote', 'marinelepen', 'mega_sweden'], 'Refugee and Immigration Debate': ['refugeeswelcome', 'refugee', 'travelban', 'enter_country', 'country']}",Right-Wing Populism and Anti-Islam Sentiment.Refugee and Immigration Debate,"{'Immigration and Nationalism': 'muslimban, pvv, bordersclose, geertwilders, stempvv, nexit, travelban, refugeeswelcome, refugee, enter_country, country', 'Right-Wing Politics': 'attention, mega, bluehand, prevail, afd, maga, trump, tcot', 'Anti-Islam Sentiment': 'stopislam, stopislamofobia, islam'}",Immigration and Nationalism.Right-Wing Politics.Anti-Islam Sentiment,"{'Travel Ban and Immigration Policies': 'muslimban, muslim, country, ban, trump, travel, bordersclose', 'Islam and Perception in Politics': 'muslims, islam, america, terrorist, vote, marinelepen, pvv', 'Political Figures and Nationalism': 'trump, marinelepen, mega_sweden'}",Travel Ban and Immigration Policies.Islam and Perception in Politics.Political Figures and Nationalism
69,8,"['refugeeswelcome', 'travelban', 'refugee', 'immigrant', 'stopislamofobia', 'immigration', 'woman', 'migrantenkriminalitat', 'nation', 'constitution']",69,6,"['refugeeswelcome', 'stopislamofobia', 'migrantenkriminalitat', 'prouracisme']",8,"['travelban', 'refugeeswelcome', 'maga', 'refugee', 'muslimban', 'islam', 'trump', 'enter_country', 'pvv', 'country', 'tcot', 'stopislamofobia', 'bordersclose']",5,"['refugeeswelcome', 'stopislamofobia', 'migrantenkriminalitat', 'stopislamofobia_refugeeswelcome', 'prouracisme']","[156321706, 1642419774, 2251108546, 2597902411, 3095524177, 3492203836, 3666972316, 4776872181, 704369311004139500, 716630421598040065, 720873437095309313, 764196970105868289, 768755478671290368, 818521856634396672, 838132203779420200, 843125890464845825]","refugeeswelcome,travelban,refugee,immigrant,stopislamofobia,immigration,woman,migrantenkriminalitat,nation,constitution,maga,muslimban,islam,trump,enter_country,pvv,country,tcot,bordersclose,prouracisme,stopislamofobia_refugeeswelcome","refugeeswelcome,travelban,refugee,immigrant,stopislamofobia,immigration,woman,migrantenkriminalitat,nation,constitution,maga,muslimban,islam,trump,enter_country,pvv,country,tcot,bordersclose","refugeeswelcome,stopislamofobia,migrantenkriminalitat,prouracisme,stopislamofobia_refugeeswelcome","{'Immigration and Refugee Issues': ['refugeeswelcome', 'travelban', 'refugee', 'immigrant', 'immigration', 'migrantenkriminalitat', 'enter_country', 'bordersclose', 'stopislamofobia_refugeeswelcome'], 'Islamophobia and Anti-Racism': ['stopislamofobia', 'muslimban', 'islam', 'prouracisme', 'stopislamofobia_refugeeswelcome'], 'Nationalism and Political Movements': ['nation', 'constitution', 'maga', 'trump', 'pvv', 'country', 'tcot']}",Immigration and Refugee Issues.Islamophobia and Anti-Racism.Nationalism and Political Movements,"{'Immigration and Refugee Policies': 'refugeeswelcome, travelban, refugee, immigrant, immigration, muslimban, enter_country, bordersclose', 'Anti-Islam Sentiment and Islamophobia': 'stopislamofobia, islam, muslimban', 'Nationalism and Political Movements': 'nation, constitution, maga, trump, pvv, tcot', 'Gender and Migration': 'woman, migrantenkriminalitat'}",Immigration and Refugee Policies.Anti-Islam Sentiment and Islamophobia.Nationalism and Political Movements.Gender and Migration,"{'Anti-Islamophobia and Refugee Support': 'refugeeswelcome, stopislamofobia, stopislamofobia_refugeeswelcome', 'Racism and Migration Issues': 'migrantenkriminalitat, prouracisme'}",Anti-Islamophobia and Refugee Support.Racism and Migration Issues
71,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",70,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[60149899, 74841347, 1287225810, 2713427480]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money,sign","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money","ban,travel,trump,revise,order,judge,president,hawaii,trumps,block,executive_order,federal_judge,immigration,sign","{'US Immigration Policy': 'ban, travel, trump, order, revise, judge, trumps, hawaii, president, block, immigration, executive_order, federal_judge, sign'}",US Immigration Policy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge'], 'Media and Finance': ['radio_live', 'stock_money']}",US Immigration Policy.Media and Finance,"{'Travel Ban': 'ban, travel, trump, revise, order, judge, president, hawaii, trumps, block, executive_order, federal_judge, immigration, sign'}",Travel Ban
72,8,"['refugeeswelcome', 'travelban', 'refugee', 'immigrant', 'stopislamofobia', 'immigration', 'woman', 'migrantenkriminalitat', 'nation', 'constitution']",71,6,"['refugeeswelcome', 'stopislamofobia', 'migrantenkriminalitat', 'prouracisme']",8,"['travelban', 'refugeeswelcome', 'maga', 'refugee', 'muslimban', 'islam', 'trump', 'enter_country', 'pvv', 'country', 'tcot', 'stopislamofobia', 'bordersclose']",5,"['refugeeswelcome', 'stopislamofobia', 'migrantenkriminalitat', 'stopislamofobia_refugeeswelcome', 'prouracisme']","[27522324, 61312554, 87042194, 225749611, 271623338, 847325940, 2211180738, 2356934593, 2935020087, 3290161704, 728645575558758403, 738333792008560641, 808071209455910912, 840139453641375748]","refugeeswelcome,travelban,refugee,immigrant,stopislamofobia,immigration,woman,migrantenkriminalitat,nation,constitution,maga,muslimban,islam,trump,enter_country,pvv,country,tcot,bordersclose,prouracisme,stopislamofobia_refugeeswelcome","refugeeswelcome,travelban,refugee,immigrant,stopislamofobia,immigration,woman,migrantenkriminalitat,nation,constitution,maga,muslimban,islam,trump,enter_country,pvv,country,tcot,bordersclose","refugeeswelcome,stopislamofobia,migrantenkriminalitat,prouracisme,stopislamofobia_refugeeswelcome","{'Immigration and Refugee Policies': ['refugeeswelcome', 'travelban', 'refugee', 'immigrant', 'immigration', 'muslimban', 'enter_country', 'bordersclose', 'stopislamofobia_refugeeswelcome'], 'Nationalism and Identity': ['nation', 'constitution', 'maga', 'country', 'tcot', 'pvv'], 'Islamophobia and Racism': ['stopislamofobia', 'islam', 'prouracisme', 'migrantenkriminalitat', 'stopislamofobia_refugeeswelcome'], ""Women's Issues"": ['woman'], 'Trump and Political Influence': ['trump']}",Immigration and Refugee Policies.Nationalism and Identity.Islamophobia and Racism.Women's Issues.Trump and Political Influence,"{'Immigration and Refugee Policies': 'refugeeswelcome, travelban, refugee, immigrant, immigration, muslimban, enter_country, bordersclose', 'Anti-Islam Sentiment and Islamophobia': 'stopislamofobia, islam, muslimban', 'Nationalism and Political Movements': 'nation, constitution, maga, trump, pvv, tcot', 'Gender and Migration': 'woman, migrantenkriminalitat'}",Immigration and Refugee Policies.Anti-Islam Sentiment and Islamophobia.Nationalism and Political Movements.Gender and Migration,"{'Anti-Islamophobia and Refugee Support': 'refugeeswelcome, stopislamofobia, stopislamofobia_refugeeswelcome', 'Racism and Migration Issues': 'migrantenkriminalitat, prouracisme'}",Anti-Islamophobia and Refugee Support.Racism and Migration Issues
74,2,"['ban', 'muslim', 'muslimban', 'trump', 'court']",72,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[500496955, 2702394775, 807810340339744800, 809518522489511936]","ban,muslim,muslimban,trump,court,president,nobannowall,travel,refugee,travelban,judge_robart,executive_order,judge","ban,muslim,muslimban,trump,court,president","ban,trump,muslimban,muslim,nobannowall,travel,refugee,travelban,judge_robart,executive_order,judge","{'US Travel Ban Controversy': ['ban', 'muslim', 'muslimban', 'trump', 'court', 'president', 'nobannowall', 'travel', 'refugee', 'travelban', 'judge_robart', 'executive_order', 'judge']}",US Travel Ban Controversy,"{'Travel Ban Controversy': 'ban, muslim, muslimban, trump, court, president'}",Travel Ban Controversy,"{'US Travel Ban Controversy': ['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee', 'travelban', 'judge_robart', 'executive_order', 'judge']}",US Travel Ban Controversy
75,11,"['nobannowall', 'muslimban', 'bigotry', 'noban', 'riseup', 'remember', 'immigration', 'immigrant', 'stand']",74,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[26139323, 4889278415, 4905972502, 696794078915252224]","nobannowall,muslimban,bigotry,noban,riseup,remember,immigration,immigrant,stand,ban,muslim,trump,president,travel,refugee,travelban,judge_robart,executive_order,judge","nobannowall,muslimban,bigotry,noban,riseup,remember,immigration,immigrant,stand,ban,muslim,trump,president","ban,trump,muslimban,muslim,nobannowall,travel,refugee,travelban,judge_robart,executive_order,judge","{'Travel Ban Controversy': 'nobannowall, muslimban, bigotry, noban, riseup, remember, immigration, immigrant, stand, ban, muslim, trump, president, travel, refugee, travelban, judge_robart, executive_order, judge'}",Travel Ban Controversy,"{'Immigration and Anti-Discrimination Protests': 'nobannowall, muslimban, bigotry, noban, riseup, remember, immigration, immigrant, stand, ban, muslim, trump, president'}",Immigration and Anti-Discrimination Protests,"{'US Travel Ban Controversy': ['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee', 'travelban', 'judge_robart', 'executive_order', 'judge']}",US Travel Ban Controversy
76,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",75,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[524435492, 2331853451, 2605069205, 3119526652]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money,sign","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money","ban,travel,trump,revise,order,judge,president,hawaii,trumps,block,executive_order,federal_judge,immigration,sign","{'US Immigration Policy': 'ban, travel, trump, order, revise, judge, trumps, hawaii, president, block, immigration, executive_order, federal_judge, sign'}",US Immigration Policy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge'], 'Media and Finance': ['radio_live', 'stock_money']}",US Immigration Policy.Media and Finance,"{'Travel Ban': 'ban, travel, trump, revise, order, judge, president, hawaii, trumps, block, executive_order, federal_judge, immigration, sign'}",Travel Ban
78,2,"['ban', 'muslim', 'muslimban', 'trump', 'court']",76,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[45805351, 79028016, 2707058534, 3086411087]","ban,muslim,muslimban,trump,court,president,nobannowall,travel,refugee,travelban,judge_robart,executive_order,judge","ban,muslim,muslimban,trump,court,president","ban,trump,muslimban,muslim,nobannowall,travel,refugee,travelban,judge_robart,executive_order,judge","{'US Travel Ban Controversy': 'ban, muslim, muslimban, trump, court, president, nobannowall, travel, refugee, travelban, judge_robart, executive_order, judge'}",US Travel Ban Controversy,"{'Travel Ban Controversy': 'ban, muslim, muslimban, trump, court, president'}",Travel Ban Controversy,"{'US Travel Ban Controversy': ['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee', 'travelban', 'judge_robart', 'executive_order', 'judge']}",US Travel Ban Controversy
79,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",4,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[45832693, 519728191, 825408516164898800, 825408516164898816]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money,muslimban,muslim,nobannowall,refugee,travelban,judge_robart","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money","ban,trump,muslimban,muslim,nobannowall,travel,refugee,travelban,judge_robart,executive_order,judge","{'US Immigration Policy': 'ban, travel, trump, order, revise, judge, trumps, hawaii, president, block, immigration, executive_order, federal_judge, muslimban, muslim, nobannowall, refugee, travelban, judge_robart'}",US Immigration Policy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge'], 'Media and Finance': ['radio_live', 'stock_money']}",US Immigration Policy.Media and Finance,"{'US Travel Ban Controversy': ['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee', 'travelban', 'judge_robart', 'executive_order', 'judge']}",US Travel Ban Controversy
80,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",77,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[3183011042, 4040356454, 4291483877, 4291826968, 4292285657, 4292420368, 4311027620, 4374463812, 4428480594, 4430769312, 4594844191, 4609793892, 4637575405, 702312482623393792, 718219857943093248, 731844183825092600, 732118984628166658]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money,sign","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money","ban,travel,trump,revise,order,judge,president,hawaii,trumps,block,executive_order,federal_judge,immigration,sign","{'US Immigration Policy': 'ban, travel, trump, order, revise, judge, trumps, hawaii, president, block, immigration, executive_order, federal_judge, sign'}",US Immigration Policy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge'], 'Media and Finance': ['radio_live', 'stock_money']}",US Immigration Policy.Media and Finance,"{'Travel Ban': 'ban, travel, trump, revise, order, judge, president, hawaii, trumps, block, executive_order, federal_judge, immigration, sign'}",Travel Ban
81,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",78,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[24924400, 62594204, 810156981998800897]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,muslimban,muslim,nobannowall,refugee,travelban,judge_robart,executive_order","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,muslimban,muslim","ban,trump,muslimban,muslim,nobannowall,travel,refugee,travelban,judge_robart,executive_order,judge","{'US Immigration Policy Controversy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'muslimban', 'muslim', 'nobannowall', 'refugee', 'travelban', 'judge_robart', 'executive_order']}",US Immigration Policy Controversy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'muslimban', 'muslim']}",US Immigration Policy,"{'US Travel Ban Controversy': ['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee', 'travelban', 'judge_robart', 'executive_order', 'judge']}",US Travel Ban Controversy
